Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6119","London","Westminster","A4","PU","531060","181090","Aldwych","LA Boundary","0.18","145","157","1616","115","169","23","1","0","0","0","0","26","2084"
"2000","6120","London","Westminster","A4","PU","528900","180220","Hyde Park Corner","St James St","0.55","383","771","6957","216","308","819","559","18","5","2","0","1403","9655"
"2000","6152","London","Westminster","A5","PU","527500","181240","Sussex Gdns","Seymour St","0.37","210","211","3702","214","683","227","15","12","7","5","4","270","5079"
"2000","6426","London","Westminster","A40","PU","528500","181100","Orchard St","Regent St","0.49","199","39","743","698","59","15","2","0","0","0","0","17","1556"
"2000","6459","London","Westminster","A41","PU","528000","181700","York St","Portman Sq (north)","0.31","38","103","1408","117","207","36","3","2","1","1","1","44","1879"
"2000","6896","London","Westminster","A315","PU","527000","179700","LA Boundary","A4/A3216","1.05","358","1193","9339","316","956","521","13","10","1","1","0","546","12350"
"2000","7603","London","Westminster","A3212","PU","530200","179300","A3203","Parliament Square","0.43","383","611","3146","211","630","152","11","6","2","2","2","175","4773"
"2000","7672","London","Westminster","A4201","PU","528800","181700","A5204","A501","0.49","112","240","3205","62","384","62","5","3","3","0","0","73","3963"
"2000","7934","London","Westminster","A3214","PU","528600","178600","B302","A3213","0.55","155","179","1899","139","232","144","110","4","0","1","0","259","2708"
"2000","8083","London","Westminster","A41","PU","527410","182550","A41","A5205","0.43","38","131","4090","201","422","64","6","5","6","4","2","87","4931"
"2000","8448","London","Westminster","A4","PU","529610","180500","Pall Mall","Piccadilly Circus","0.18","60","122","843","104","179","42","3","1","0","0","0","46","1294"
"2000","16108","London","Westminster","A4","PU","530400","180700","Northumberland Ave","A301","0.43","223","282","4076","323","422","73","3","1","1","0","0","79","5182"
"2000","16142","London","Westminster","A302","PU","528600","179500","A3217","A4","0.37","79","178","8625","440","1006","184","19","18","18","10","5","254","10502"
"2000","16435","London","Westminster","A41","PU","527750","182000","A501","A41 Park Rd","0.31","21","65","1475","103","167","27","2","1","2","1","1","36","1846"
"2000","17015","London","Westminster","A404","PU","524000","182440","LA Boundary","A4207","0.68","70","170","3731","90","605","180","6","9","5","3","3","207","4802"
"2000","17567","London","Westminster","A3203","PU","530350","178960","A3212","LA Boundary","0.12","87","88","1116","35","69","150","82","5","1","1","0","239","1546"
"2000","17572","London","Westminster","A3212","PU","529800","178030","A3216","A202","0.99","392","1399","12049","174","2621","456","29","45","16","13","8","566","16809"
"2000","17574","London","Westminster","A3217","PU","528900","179330","A302","A3214","0.12","37","86","1763","125","256","37","6","3","1","1","1","50","2279"
"2000","17638","London","Westminster","A4201","PU","529100","181000","Piccadilly Circus","A40","0.55","201","412","3846","547","671","78","9","3","3","1","0","93","5568"
"2000","17639","London","Westminster","A4202","PU","528089","180542","A4 Hyde Park Corner","Marble Arch","0.86","249","1639","28887","866","4035","611","42","21","19","12","12","718","36145"
"2000","17641","London","Westminster","A501","PU","527370","181750","A5/A4209","Marylebone Rd","0.18","42","56","1042","19","120","18","1","1","0","0","1","22","1258"
"2000","17691","London","Westminster","A401","PU","529761","180893","Piccadilly Circus","A400","0.31","142","247","1430","112","370","101","6","1","1","0","0","111","2270"
"2000","17917","London","Westminster","A3214","PU","528970","179400","A3217","Buckingham Gate","0.18","103","101","1474","35","85","13","1","0","0","0","0","14","1709"
"2000","18169","London","Westminster","A5204","PU","528000","181174","A5","A41","0.24","73","73","791","0","21","70","43","1","0","0","0","115","1000"
"2000","18454","London","Westminster","A501","PU","528800","182200","A501","A4201","0.12","63","153","2421","24","95","319","153","5","6","3","0","486","3179"
